building_id,damage_grade,damage_grade_n
504208,3,2
692192,3,2
146670,2,1
838647,2,1
415919,2,1
150733,3,2
930554,2,1
687280,3,2
38340,2,1
542385,2,1
158901,3,2
1025864,2,1
939805,2,1
794193,2,1
1015061,2,1
433188,2,1
879546,3,2
29061,2,1
331971,1,0
612661,2,1
497383,2,1
385806,3,2
103441,3,2
184776,3,2
703296,2,1
599025,2,1
419957,2,1
116876,3,2
515935,2,1
122112,2,1
910366,2,1
168711,2,1
343093,2,1
580903,2,1
698124,2,1
633219,2,1
866259,1,0
542830,2,1
586356,3,2
273988,2,1
1048981,2,1
337221,2,1
921736,1,0
884288,2,1
1022710,3,2
724285,2,1
14451,2,1
841664,3,2
27947,3,2
207750,3,2
64707,2,1
920565,1,0
145522,2,1
568881,2,1
118080,3,2
75283,2,1
604893,3,2
627420,3,2
536831,2,1
35282,3,2
102240,2,1
510669,3,2
181389,2,1
117107,2,1
566877,2,1
747500,1,0
343704,2,1
524021,3,2
698407,3,2
927743,3,2
618404,2,1
259577,2,1
729715,2,1
545313,3,2
884932,1,0
258239,3,2
887647,2,1
1049790,2,1
460282,2,1
233499,2,1
453454,3,2
432609,1,0
597468,2,1
1037193,1,0
89827,2,1
980021,3,2
290507,3,2
988369,2,1
476996,2,1
771061,1,0
65257,3,2
1038852,2,1
47497,3,2
512246,2,1
790159,2,1
838560,2,1
385005,2,1
1049470,3,2
511746,2,1
464443,2,1
961808,2,1
270841,3,2
564897,2,1
854364,3,2
457460,3,2
915464,3,2
968137,3,2
462457,2,1
996470,3,2
423322,1,0
192894,3,2
653339,2,1
83653,2,1
898324,1,0
799072,1,0
822274,3,2
975397,2,1
15665,1,0
354594,2,1
374000,1,0
563238,2,1
793945,2,1
5479,3,2
1005258,2,1
639564,2,1
265691,2,1
226736,2,1
737045,3,2
912541,2,1
908776,2,1
551411,2,1
346645,3,2
964928,1,0
257919,1,0
133998,2,1
194930,2,1
903580,2,1
362767,2,1
719207,3,2
843540,2,1
384055,3,2
925729,1,0
859958,2,1
143041,3,2
888374,1,0
525359,2,1
11718,2,1
259925,2,1
285746,2,1
514265,2,1
903361,2,1
696371,1,0
936264,2,1
865603,3,2
776026,3,2
749317,3,2
979466,3,2
1036570,3,2
950437,3,2
172998,2,1
246270,2,1
826011,3,2
884517,3,2
394060,3,2
602392,2,1
363074,1,0
637782,2,1
818888,2,1
692413,2,1
334390,2,1
872438,2,1
34714,2,1
204676,3,2
670830,2,1
294272,2,1
121645,2,1
679111,1,0
5373,2,1
175764,3,2
1037250,2,1
258072,3,2
376403,3,2
810700,3,2
406694,2,1
799900,2,1
366012,2,1
569940,2,1
410519,3,2
170930,3,2
435557,2,1
421977,3,2
786375,3,2
12966,2,1
959547,1,0
416978,2,1
70196,2,1
349703,2,1
795046,2,1
13360,3,2
835610,1,0
337470,2,1
42674,3,2
1032526,3,2
632119,2,1
818091,2,1
314523,3,2
870237,2,1
568171,3,2
635649,3,2
1015675,2,1
915971,3,2
710633,3,2
21514,2,1
19963,2,1
402609,2,1
753674,3,2
324885,1,0
933489,2,1
862747,2,1
475344,2,1
842498,3,2
318782,3,2
370360,2,1
500500,2,1
958117,2,1
905317,3,2
552111,2,1
101629,3,2
834807,1,0
511762,2,1
231900,2,1
798797,2,1
613201,2,1
115798,3,2
138623,2,1
350829,3,2
594270,1,0
576520,1,0
86951,2,1
343800,2,1
220340,1,0
272644,2,1
873535,2,1
360730,3,2
34371,2,1
719278,2,1
529478,3,2
762450,3,2
338761,3,2
404219,3,2
923241,3,2
828538,3,2
586030,3,2
874667,2,1
905296,3,2
158537,2,1
839504,2,1
964149,3,2
925964,3,2
1050285,2,1
521772,2,1
54461,1,0
221511,1,0
394600,3,2
782109,2,1
203261,1,0
204664,1,0
175742,2,1
189566,2,1
758110,1,0
446701,2,1
180957,2,1
846487,1,0
157388,3,2
656039,2,1
393373,2,1
848600,2,1
142654,2,1
749748,2,1
412535,2,1
828731,2,1
541494,2,1
547954,3,2
605120,2,1
1024429,1,0
671050,1,0
983312,1,0
194805,1,0
752140,2,1
1044041,3,2
966653,2,1
599024,1,0
918265,2,1
845581,2,1
210904,2,1
108895,3,2
216520,3,2
741802,3,2
573845,2,1
926959,3,2
939472,3,2
539938,3,2
224125,2,1
186366,2,1
372513,3,2
408829,2,1
195802,2,1
708212,2,1
960436,2,1
442958,2,1
2095,2,1
369584,3,2
844796,2,1
509342,3,2
1040810,2,1
143285,2,1
473223,1,0
650478,3,2
402686,3,2
592146,3,2
402434,2,1
589409,3,2
10047,2,1
709267,2,1
334577,3,2
820614,2,1
828297,3,2
964299,2,1
869974,2,1
162938,2,1
529575,2,1
494660,3,2
473868,3,2
264295,1,0
699791,2,1
352321,1,0
792717,2,1
587002,3,2
303098,2,1
57143,3,2
963316,3,2
504389,3,2
1035718,2,1
631967,2,1
365529,1,0
108156,2,1
755376,2,1
880198,2,1
624761,2,1
398696,3,2
385161,2,1
932275,3,2
213402,3,2
433872,2,1
591436,3,2
223579,2,1
626513,2,1
670813,3,2
61316,2,1
761984,3,2
153161,2,1
623252,3,2
695029,3,2
614195,2,1
341746,2,1
464318,2,1
358571,2,1
1039958,2,1
654242,3,2
156636,2,1
850792,3,2
195023,3,2
260108,3,2
931974,2,1
358361,2,1
75819,2,1
946640,2,1
364248,2,1
166837,2,1
445149,2,1
451626,1,0
176603,2,1
702616,2,1
447643,3,2
265952,3,2
989660,3,2
224516,2,1
950324,2,1
297133,1,0
392566,2,1
469204,1,0
667580,3,2
613917,3,2
879334,3,2
815818,2,1
994920,2,1
627322,2,1
769771,2,1
193895,2,1
291222,1,0
621897,3,2
277880,2,1
841133,3,2
810730,2,1
867168,3,2
490900,2,1
140570,2,1
181589,2,1
732305,3,2
290140,2,1
543611,3,2
94919,1,0
79824,2,1
802955,3,2
754405,2,1
698003,2,1
579517,2,1
968490,3,2
200363,2,1
267182,2,1
199812,2,1
256839,2,1
156922,2,1
633622,2,1
127505,2,1
1004230,2,1
80657,3,2
605778,2,1
1042528,2,1
125708,3,2
190811,2,1
999520,2,1
13117,2,1
153723,2,1
923805,2,1
23972,3,2
303516,2,1
329419,3,2
366166,2,1
466762,2,1
909642,2,1
375910,2,1
909560,2,1
533189,1,0
649823,3,2
794192,2,1
306848,1,0
691627,3,2
916862,2,1
860885,2,1
637188,1,0
855836,2,1
494549,2,1
223951,3,2
582556,2,1
727702,2,1
524371,2,1
237658,3,2
981687,3,2
700528,2,1
188873,3,2
615418,3,2
444343,3,2
1050374,1,0
269301,2,1
903172,3,2
562038,2,1
765212,3,2
716452,2,1
517327,3,2
1028313,2,1
679968,2,1
692372,2,1
470638,3,2
542390,3,2
500400,3,2
724572,3,2
960218,2,1
997198,2,1
1024956,3,2
136691,3,2
164203,3,2
417405,3,2
458252,2,1
628052,2,1
766971,2,1
765799,3,2
647304,3,2
537366,2,1
555744,2,1
609774,3,2
75930,2,1
507345,3,2
235883,2,1
462288,2,1
475902,2,1
1031836,2,1
459527,2,1
143298,2,1
808003,2,1
792223,2,1
946307,3,2
286758,2,1
529159,1,0
338071,2,1
12244,1,0
904055,3,2
240382,2,1
333395,2,1
978688,2,1
105015,3,2
925075,3,2
306738,2,1
90881,2,1
662629,3,2
822616,2,1
541914,2,1
133894,2,1
124466,2,1
597626,1,0
490195,2,1
934906,1,0
267571,3,2
783004,3,2
788968,3,2
964602,3,2
496960,3,2
138890,2,1
871546,2,1
1047765,1,0
233314,2,1
804936,3,2
242348,1,0
521737,2,1
464027,2,1
540203,3,2
776378,2,1
990790,2,1
500061,2,1
591186,2,1
595723,2,1
663818,3,2
788158,2,1
907660,3,2
183631,2,1
31295,3,2
271658,2,1
612337,2,1
359524,1,0
233302,3,2
58652,3,2
426991,1,0
291907,1,0
852862,2,1
340101,2,1
59811,2,1
581576,2,1
57922,2,1
802845,3,2
446125,2,1
293613,3,2
179913,2,1
136211,3,2
115214,2,1
131468,2,1
296402,2,1
752666,2,1
129374,3,2
106292,2,1
539946,3,2
774433,2,1
608110,2,1
344788,3,2
176654,2,1
637899,2,1
1048118,3,2
917880,1,0
1015027,2,1
19645,3,2
856765,2,1
841725,2,1
765852,2,1
119113,2,1
447993,2,1
67924,2,1
795384,3,2
409810,2,1
441078,2,1
129329,1,0
68949,2,1
289989,2,1
582707,2,1
257137,2,1
913266,3,2
48327,2,1
505399,2,1
164881,2,1
174798,3,2
322052,2,1
6220,2,1
959468,3,2
854197,1,0
663193,2,1
756717,1,0
87320,3,2
487092,3,2
890442,3,2
57452,2,1
166539,3,2
563910,3,2
448078,3,2
281886,2,1
885837,3,2
487122,3,2
517025,3,2
188591,2,1
1016081,2,1
635016,3,2
244988,2,1
175362,3,2
153751,2,1
450051,2,1
567556,2,1
180242,2,1
1037387,3,2
427709,3,2
338331,2,1
175295,1,0
190657,2,1
499572,2,1
404723,2,1
933382,2,1
444920,1,0
859422,2,1
641115,2,1
279135,3,2
136665,3,2
906214,3,2
251752,2,1
741214,3,2
995045,2,1
942960,1,0
31055,1,0
79484,2,1
283527,2,1
821667,3,2
1046774,3,2
397613,2,1
329802,1,0
62856,3,2
480897,2,1
331096,3,2
20454,3,2
148451,3,2
309069,2,1
1015552,2,1
161527,3,2
646352,2,1
649191,2,1
738463,2,1
548124,2,1
815262,3,2
74660,2,1
833968,2,1
890312,3,2
787189,2,1
860456,2,1
458965,2,1
107638,2,1
172467,3,2
490652,2,1
682960,3,2
921648,2,1
939221,1,0
492403,2,1
367619,2,1
215109,3,2
865497,3,2
722025,1,0
922502,3,2
829346,2,1
651553,1,0
705153,2,1
801513,2,1
953909,2,1
328332,1,0
86149,1,0
994663,3,2
473895,3,2
825533,2,1
984945,1,0
141555,2,1
889491,2,1
44720,2,1
589324,2,1
973265,2,1
113742,2,1
96808,3,2
664432,1,0
635694,2,1
722696,3,2
467187,2,1
173762,3,2
408894,2,1
465912,2,1
514459,2,1
658455,2,1
723100,2,1
256826,2,1
74777,3,2
115253,3,2
1021341,2,1
1022848,2,1
50846,2,1
369214,1,0
529772,2,1
409189,3,2
68229,3,2
160548,3,2
291586,1,0
946019,1,0
435809,1,0
656655,2,1
324469,2,1
1030085,2,1
1020488,2,1
926021,2,1
649443,2,1
260050,2,1
117310,2,1
921315,2,1
222716,2,1
311145,2,1
293077,2,1
518151,3,2
768937,2,1
70936,3,2
99991,1,0
765944,1,0
470563,2,1
550861,2,1
43036,2,1
898068,3,2
111480,3,2
153641,3,2
993948,2,1
622946,2,1
321106,2,1
967362,2,1
868080,3,2
463847,2,1
386120,2,1
480129,2,1
595523,3,2
189516,2,1
963569,2,1
235638,3,2
194608,3,2
909656,2,1
728469,2,1
303039,2,1
10360,2,1
603606,2,1
622401,3,2
904666,1,0
1007467,2,1
392822,2,1
1025349,3,2
774429,3,2
743195,2,1
468795,2,1
480814,3,2
96248,3,2
923687,3,2
650567,2,1
1236,3,2
1013735,2,1
394003,3,2
847949,3,2
115558,2,1
1052121,2,1
364055,2,1
1323,3,2
185703,3,2
91858,3,2
1034568,2,1
791397,3,2
296308,2,1
794578,2,1
534275,2,1
673673,2,1
534221,2,1
290980,1,0
343802,3,2
10337,2,1
1013270,2,1
264205,2,1
936594,3,2
897749,2,1
163423,2,1
329002,2,1
1003893,3,2
749524,1,0
162441,3,2
589785,2,1
800427,3,2
403199,2,1
290807,3,2
60798,2,1
440148,3,2
730483,1,0
905234,2,1
642796,3,2
1029428,2,1
164235,2,1
981576,2,1
89335,2,1
797052,2,1
904099,3,2
807983,3,2
251453,2,1
960207,1,0
379490,2,1
944554,2,1
612418,2,1
328451,2,1
313837,2,1
231696,1,0
477543,2,1
741842,3,2
831558,2,1
78198,2,1
521968,1,0
129426,2,1
810212,2,1
738226,2,1
403410,3,2
208337,2,1
92646,2,1
204879,2,1
845483,2,1
650298,2,1
325083,3,2
766923,2,1
710178,2,1
758032,2,1
276625,3,2
330489,3,2
802870,2,1
766679,2,1
223181,2,1
668761,3,2
615175,3,2
956645,1,0
1008763,2,1
258860,2,1
865391,2,1
335302,2,1
975963,3,2
171513,2,1
700386,2,1
731953,3,2
736764,3,2
453475,2,1
139246,2,1
720228,2,1
251708,3,2
921312,3,2
747774,2,1
33717,3,2
817048,2,1
976868,2,1
857204,3,2
115235,3,2
743307,2,1
328631,3,2
402862,2,1
445902,2,1
145669,2,1
1030942,3,2
640494,2,1
66045,2,1
504363,2,1
185273,2,1
602164,2,1
75861,2,1
90610,3,2
858734,3,2
327182,2,1
411669,3,2
37322,2,1
762070,3,2
716979,3,2
603257,2,1
545037,1,0
485137,2,1
298863,2,1
985153,1,0
663516,3,2
613281,2,1
686125,2,1
785085,3,2
922942,3,2
293276,2,1
17130,2,1
46946,2,1
81465,2,1
122280,2,1
752890,2,1
453197,1,0
398137,2,1
656357,2,1
532231,3,2
532642,2,1
197467,2,1
823089,1,0
490782,3,2
92280,3,2
674407,2,1
828899,2,1
74455,2,1
114816,2,1
564778,2,1
75895,3,2
535869,2,1
850962,3,2
849997,1,0
379477,3,2
687113,3,2
148232,2,1
385450,2,1
844519,3,2
830201,2,1
864829,3,2
421958,2,1
311165,2,1
274484,3,2
550561,3,2
292048,3,2
889969,1,0
317475,3,2
357681,3,2
42812,3,2
371334,2,1
11313,2,1
329454,2,1
987842,3,2
569645,3,2
611472,2,1
165930,2,1
346395,2,1
911168,2,1
656592,2,1
398233,2,1
164289,2,1
181056,2,1
208488,1,0
869978,1,0
967152,2,1
849250,1,0
412217,3,2
731257,3,2
970704,3,2
160664,2,1
784887,2,1
215431,2,1
204014,2,1
88913,1,0
686573,2,1
928536,3,2
28696,2,1
228660,3,2
805866,1,0
527991,3,2
89201,3,2
216684,1,0
555797,2,1
325474,3,2
1046978,2,1
336809,2,1
274193,1,0
921324,2,1
1046618,3,2
973508,2,1
726305,1,0
154407,2,1
410679,3,2
63610,1,0
48262,2,1
319144,2,1
1045402,3,2
854279,2,1
157383,2,1
4375,2,1
656323,2,1
217057,2,1
90120,2,1
447972,3,2
332744,2,1
684273,2,1
400995,3,2
423950,3,2
135784,3,2
939922,2,1
319593,2,1
787163,2,1
742079,1,0
102819,3,2
532569,2,1
387060,2,1
489396,3,2
507254,2,1
258438,2,1
3777,3,2
362091,1,0
226931,3,2
601511,3,2
210574,2,1
702461,1,0
460382,2,1
335128,3,2
208996,1,0
688489,3,2
294382,2,1
822238,2,1
711275,3,2
213630,1,0
261198,2,1
893681,2,1
294264,2,1
853521,2,1
702107,2,1
589990,3,2
304465,3,2
204073,2,1
376985,3,2
342985,2,1
16508,2,1
7560,3,2
244890,2,1
783865,2,1
122729,3,2
670408,2,1
198122,2,1
310676,2,1
86205,3,2
1025820,3,2
418572,2,1
833958,2,1
427132,3,2
242057,2,1
13808,2,1
899997,3,2
467843,3,2
953345,3,2
451672,3,2
443930,1,0
1048854,3,2
276078,3,2
844463,3,2
371428,1,0
11200,3,2
929608,3,2
794510,2,1
555430,3,2
571185,1,0
356954,3,2
291614,3,2
712973,2,1
45284,1,0
163414,1,0
27968,3,2
863731,2,1
493363,3,2
106726,1,0
487208,2,1
518938,3,2
614848,3,2
205410,3,2
357942,2,1
1051637,1,0
42162,3,2
866888,3,2
640132,2,1
306647,2,1
234975,3,2
411950,2,1
82194,3,2
460926,3,2
743155,2,1
956028,3,2
302507,3,2
28644,2,1
460949,3,2
152755,3,2
232426,2,1
310812,3,2
215003,3,2
554614,2,1
441337,2,1
697661,3,2
449643,2,1
87974,1,0
299992,3,2
852246,2,1
365932,1,0
454895,3,2
683150,3,2
223796,2,1
13596,2,1
378727,2,1
1049267,3,2
561892,2,1
629375,2,1
380399,2,1
65577,3,2
790549,3,2
1002998,2,1
261305,2,1
51200,1,0
1004820,2,1
22246,3,2
602713,2,1
263029,2,1
214556,1,0
60919,2,1
238947,1,0
612234,1,0
980286,2,1
656028,3,2
921185,2,1
908243,2,1
292650,1,0
197783,2,1
773398,2,1
794004,3,2
204847,2,1
618848,2,1
128975,2,1
304133,3,2
631245,3,2
815170,2,1
836757,2,1
871833,3,2
898118,2,1
1004508,2,1
629630,1,0
59283,2,1
336256,1,0
550284,2,1
618732,3,2
115534,2,1
700524,2,1
440058,3,2
636743,3,2
620569,2,1
800379,2,1
581652,3,2
586012,2,1
341384,2,1
417854,2,1
759782,2,1
852698,3,2
1010475,2,1
493441,2,1
885671,2,1
900650,3,2
678060,2,1
317652,2,1
366649,2,1
61531,3,2
48683,3,2
29341,3,2
809987,3,2
58279,2,1
665157,2,1
135264,2,1
1038235,2,1
796398,2,1
147813,3,2
157752,2,1
363545,2,1
882052,3,2
113302,2,1
309162,2,1
969634,2,1
597272,3,2
750435,3,2
941107,3,2
488578,3,2
107615,2,1
1028365,3,2
434716,2,1
566312,2,1
915040,2,1
24928,2,1
865200,2,1
446867,2,1
697278,2,1
789142,3,2
223074,3,2
797271,1,0
518186,2,1
632556,2,1
93094,2,1
743474,1,0
337412,2,1
861245,2,1
260830,3,2
225588,3,2
43080,2,1
994094,3,2
1043699,2,1
274370,2,1
126127,2,1
236702,2,1
1029875,3,2
851377,2,1
182972,3,2
1043079,2,1
781193,2,1
773336,2,1
974676,2,1
710936,2,1
31080,2,1
855746,2,1
17746,2,1
975985,2,1
12771,2,1
34734,3,2
293758,3,2
589564,2,1
116868,2,1
14337,1,0
814816,3,2
992622,2,1
345088,2,1
72972,1,0
174500,2,1
573656,2,1
158670,1,0
416813,2,1
388432,2,1
874042,2,1
673536,2,1
180268,1,0
171116,2,1
257982,2,1
893025,3,2
728519,2,1
21734,3,2
1014745,2,1
848163,2,1
556502,2,1
243903,2,1
284450,3,2
681716,2,1
131151,2,1
629851,2,1
590242,2,1
655057,2,1
124296,2,1
50244,2,1
936196,1,0
503057,1,0
502121,2,1
284343,3,2
826405,3,2
205052,3,2
416134,2,1
536742,2,1
518147,2,1
338524,2,1
652622,2,1
290491,2,1
405056,2,1
647922,3,2
565141,3,2
943234,3,2
970682,3,2
518931,2,1
616109,2,1
835418,2,1
127821,2,1
42748,2,1
523649,2,1
174065,3,2
113294,2,1
931250,2,1
497109,2,1
948444,2,1
472591,2,1
441412,2,1
1028708,2,1
729464,3,2
121325,2,1
956089,1,0
868602,3,2
172780,3,2
928439,3,2
497500,2,1
140882,2,1
273889,3,2
605292,2,1
777189,3,2
862043,2,1
139738,2,1
34567,2,1
1007697,2,1
409798,2,1
733541,3,2
841894,3,2
240056,3,2
371369,2,1
145012,3,2
1026095,2,1
941855,3,2
504540,3,2
717358,2,1
658562,3,2
349614,2,1
171617,2,1
813559,2,1
448660,1,0
290396,2,1
89951,3,2
732529,3,2
802079,3,2
185727,3,2
72463,3,2
49039,2,1
359400,2,1
964486,2,1
457984,3,2
823552,2,1
636805,3,2
589845,2,1
732941,2,1
789333,2,1
982262,2,1
125797,2,1
823727,1,0
881482,2,1
608887,2,1
789998,2,1
748027,2,1
594351,2,1
99220,3,2
321612,2,1
254857,2,1
10648,2,1
36270,3,2
1008166,2,1
306950,2,1
46928,2,1
375839,3,2
309782,3,2
560666,2,1
622015,2,1
649607,3,2
553385,2,1
407711,2,1
732438,3,2
197130,2,1
291642,3,2
562048,2,1
171462,3,2
38640,2,1
577146,2,1
423370,2,1
832932,3,2
610116,1,0
432220,2,1
519951,3,2
1024027,3,2
266271,2,1
684042,2,1
93278,1,0
701691,3,2
547150,2,1
180861,2,1
724773,2,1
843811,3,2
618116,3,2
230830,3,2
683452,3,2
256319,2,1
532998,2,1
692133,2,1
136790,2,1
2588,2,1
941974,2,1
555475,3,2
378214,2,1
225837,3,2
114861,3,2
835646,3,2
308994,2,1
273130,2,1
286929,2,1
848195,2,1
68800,2,1
472365,3,2
1000925,2,1
294738,2,1
791031,1,0
840499,2,1
224646,3,2
620003,2,1
998931,2,1
242217,3,2
710718,3,2
327465,2,1
214308,2,1
222436,2,1
526574,2,1
514915,2,1
278755,3,2
453010,2,1
626745,2,1
492576,2,1
654085,2,1
57588,2,1
510793,3,2
183697,3,2
529549,3,2
340978,1,0
825913,2,1
12527,2,1
298055,2,1
321485,2,1
759808,3,2
484416,2,1
356859,1,0
950460,3,2
272191,2,1
573475,2,1
529397,2,1
857371,3,2
471942,3,2
656181,2,1
396381,1,0
943339,2,1
375961,1,0
87754,3,2
375681,3,2
853113,1,0
758295,2,1
159582,2,1
278128,2,1
507051,2,1
240774,2,1
187203,3,2
319062,3,2
256549,2,1
577595,2,1
757108,2,1
616844,3,2
946273,2,1
997315,3,2
272757,2,1
82407,2,1
109628,2,1
3649,3,2
657331,2,1
54888,3,2
823836,2,1
359646,2,1
662794,1,0
734569,3,2
448977,3,2
562837,3,2
188484,2,1
731124,2,1
1044470,2,1
119197,1,0
1030816,2,1
670013,3,2
415925,2,1
96680,2,1
783077,3,2
88863,3,2
711395,1,0
285135,2,1
708174,2,1
846327,2,1
134914,2,1
239442,2,1
378032,2,1
680720,3,2
386621,2,1
937837,2,1
522643,2,1
354416,3,2
108570,2,1
66256,3,2
320029,2,1
858752,3,2
773527,2,1
61312,3,2
257904,2,1
985424,2,1
558905,3,2
633748,2,1
1046069,2,1
40199,2,1
721883,3,2
745155,3,2
684547,2,1
685650,2,1
316894,2,1
217451,2,1
697714,3,2
569563,2,1
646454,2,1
385326,2,1
708880,2,1
915347,3,2
789645,1,0
24366,2,1
493000,2,1
141567,2,1
806010,2,1
983016,2,1
989049,1,0
463287,2,1
319368,1,0
687218,2,1
139713,3,2
276430,2,1
500282,3,2
219349,2,1
544704,2,1
714007,2,1
837534,2,1
920299,2,1
518269,3,2
564257,3,2
990504,2,1
310184,1,0
346858,3,2
42025,2,1
187035,3,2
767214,2,1
718753,3,2
967772,3,2
323402,2,1
589145,3,2
774686,2,1
15089,2,1
390096,1,0
50365,2,1
397234,2,1
1038351,2,1
870343,3,2
413813,2,1
608692,2,1
15330,2,1
1046390,3,2
733664,2,1
854326,2,1
311484,2,1
459541,3,2
754044,2,1
547108,2,1
708065,1,0
827037,3,2
205220,2,1
57063,2,1
294579,2,1
554846,2,1
197745,2,1
543757,2,1
59678,3,2
62398,3,2
766746,1,0
231931,3,2
586135,2,1
118985,2,1
531503,3,2
512168,2,1
275201,1,0
127443,1,0
372499,1,0
937676,3,2
265546,3,2
616060,3,2
802890,3,2
119200,3,2
299375,2,1
678588,2,1
294461,1,0
875314,3,2
970132,3,2
929092,3,2
386017,2,1
950962,3,2
444638,1,0
131521,2,1
273432,3,2
410201,2,1
11036,1,0
47122,1,0
669057,2,1
51922,2,1
420346,2,1
579169,2,1
193794,1,0
438410,3,2
1023425,3,2
549680,2,1
245498,2,1
943829,2,1
879741,2,1
965650,3,2
940100,3,2
346800,2,1
675298,2,1
34725,2,1
251039,3,2
259490,3,2
170188,2,1
317863,2,1
219864,2,1
824627,2,1
23598,2,1
483665,2,1
897993,2,1
471920,2,1
129487,2,1
872774,3,2
859392,2,1
956941,3,2
440010,1,0
774106,3,2
34363,2,1
540326,2,1
238019,2,1
106004,2,1
184588,3,2
238348,2,1
1047073,3,2
790813,2,1
397397,3,2
564225,2,1
807533,2,1
614889,2,1
824249,2,1
594969,2,1
583437,2,1
391216,2,1
63821,1,0
432427,2,1
530306,2,1
184433,2,1
170820,1,0
224766,3,2
994523,3,2
496552,1,0
671113,3,2
745173,2,1
282386,2,1
356992,1,0
57823,1,0
63373,2,1
331089,3,2
819224,2,1
567623,2,1
345734,2,1
19344,3,2
42115,2,1
142528,3,2
32549,3,2
844441,3,2
39232,3,2
757035,2,1
571712,2,1
423807,2,1
322228,3,2
102948,3,2
656610,3,2
213839,2,1
387837,3,2
902814,2,1
741562,2,1
747882,3,2
41996,2,1
432166,3,2
1000691,2,1
533900,2,1
1028088,2,1
825407,2,1
1004425,2,1
76899,2,1
798445,1,0
392310,3,2
839011,3,2
540980,2,1
221023,2,1
847054,3,2
802427,1,0
896447,3,2
380501,2,1
433224,3,2
316628,2,1
29491,3,2
245800,1,0
321879,2,1
187906,2,1
493843,3,2
1024354,2,1
100792,2,1
258322,2,1
506366,3,2
156707,3,2
389814,1,0
896277,2,1
917503,3,2
917162,3,2
650851,3,2
148662,1,0
211,3,2
918042,2,1
697305,2,1
537320,2,1
585242,1,0
38544,2,1
249406,2,1
1012506,2,1
510269,1,0
450848,2,1
386871,2,1
1030814,1,0
226551,3,2
650268,3,2
940668,3,2
956468,2,1
968893,3,2
997384,3,2
1019660,2,1
184968,1,0
474006,3,2
206602,2,1
448445,3,2
922198,2,1
776145,2,1
164864,2,1
888588,3,2
961118,3,2
467413,2,1
132695,2,1
960540,2,1
741768,1,0
410673,3,2
311968,3,2
1033219,2,1
115790,2,1
907339,2,1
802114,1,0
523172,3,2
237985,3,2
414056,2,1
19565,3,2
136768,2,1
392663,2,1
764961,3,2
767851,2,1
531813,3,2
765561,1,0
875980,2,1
383579,3,2
930356,2,1
507416,3,2
490910,2,1
404816,2,1
787083,2,1
460055,3,2
436228,3,2
286132,3,2
573022,3,2
225285,3,2
610289,3,2
977231,3,2
118996,3,2
276735,2,1
